corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,diamond,T,2,,80,2,24,1,8640,4,0.24510803162476408,0.25828773104258396,0.3057303285742145,0.20502578542695776,0.369139578198491,0.0019613670000000615,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,5,,80,2,24,1,8640,4,0.24601097792578375,0.2598278322415101,0.3056973800289589,0.20532590082506746,0.3697028529595664,0.001966803000000069,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,10,,80,2,24,1,8640,4,0.24627845447493832,0.26029811459461694,0.30575297587273176,0.20543167785227212,0.36987133562274876,0.0019127460000000476,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,25,,80,2,24,1,8640,4,0.24642314803343834,0.26055338711256987,0.3057364139796879,0.20548715867300543,0.3699522550949447,0.0019461530000000685,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,50,,80,2,24,1,8640,4,0.24645949084110141,0.26061486508790555,0.30570401921286583,0.20550405422428894,0.3699733439410811,0.0019074580000000621,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,lex,,2,80,2,24,1,8640,4,0.24206181379302383,0.2499488613646186,0.3044864715593937,0.19856765399730028,0.3640686595879653,0.0028155989999996893,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,lex,,3,80,2,24,1,8640,4,0.24206181379302383,0.2499488613646186,0.3044864715593937,0.19856765399730028,0.3640686595879653,0.0020292640000000423,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,lex,,4,80,2,24,1,8640,4,0.2464996731760001,0.26068595817015283,0.3057124541414893,0.20551223175754027,0.36999345923261334,0.002093435000000029,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,lex,,6,80,2,24,1,8640,4,0.2464996731760001,0.26068595817015283,0.3057124541414893,0.20551223175754027,0.36999345923261334,0.0020386610000000627,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0018959900000000223,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,1,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0017848120000000082,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,2,,80,2,24,1,8640,4,0.24162360604296726,0.2476556546202613,0.3038404473011742,0.18342883343888153,0.37418508674616663,0.0017197269999999916,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,5,,80,2,24,1,8640,4,0.23931894596993494,0.2485499921203209,0.3048659646752166,0.2022726150816527,0.3668597700168927,0.001715813999999962,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,10,,80,2,24,1,8640,4,0.24268004206306168,0.25416708156911905,0.3055051607810183,0.20388003037206923,0.3679244241687745,0.0016945159999999715,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,25,,80,2,24,1,8640,4,0.24510803162476408,0.25828773104258396,0.3057303285742145,0.20502578542695776,0.369139578198491,0.0016481579999999658,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,znorm,50,,80,2,24,1,8640,4,0.2458207161670845,0.25950341504325314,0.3056881717606454,0.20528541731391706,0.3695672528927655,0.0016786479999999744,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
