corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-structure-v1,minimal,lex,,3,80,2,24,1,8640,10,0.26474402540147424,0.3133619104776747,0.03601358389621162,0.2620168808272777,0.11687575499682609,0.002648408999999793,a07f806
nasa-structure-v1,minimal,lex,,4,80,2,24,1,8640,10,0.2744781600113925,0.32732866411292394,0.03444756259509475,0.2716032425559335,0.11808086028554939,0.002443796999999826,a07f806
nasa-structure-v1,minimal,lex,,6,80,2,24,1,8640,10,0.27501412745723647,0.3275069162249136,0.03455560727052512,0.27275553344289655,0.11809167289530544,0.0024498979999998264,a07f806
nasa-structure-v1,minimal,znorm,0,,80,2,24,1,8640,10,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0022994859999999353,a07f806
nasa-structure-v1,minimal,znorm,1,,80,2,24,1,8640,10,0.2543162303533173,0.27622476450494154,0.03764619010622073,0.20727481310377466,0.11162703620798888,0.0020897250000000444,a07f806
nasa-structure-v1,minimal,znorm,2,,80,2,24,1,8640,10,0.25579334813049115,0.2791360383629621,0.03874565354988767,0.22454661338420961,0.11616143331491871,0.002014438000000067,a07f806
nasa-structure-v1,minimal,znorm,5,,80,2,24,1,8640,10,0.2654162542275195,0.29555255478360537,0.03947267291492668,0.2392152743013586,0.12299350108890386,0.00207673000000005,a07f806
nasa-structure-v1,minimal,znorm,10,,80,2,24,1,8640,10,0.2692726662921246,0.3061372554102433,0.04025872769944448,0.2515653011265913,0.1253560562521182,0.0020137980000000675,a07f806
nasa-structure-v1,minimal,znorm,25,,80,2,24,1,8640,10,0.27327328910929155,0.3229745009238073,0.03878434621130627,0.2684024036272514,0.12111789250625452,0.002016221000000062,a07f806
nasa-structure-v1,minimal,znorm,50,,80,2,24,1,8640,10,0.27402033150304644,0.32667981954475467,0.035953089636027426,0.2709983721522715,0.11778961266276065,0.002007606000000067,a07f806
nasa-structure-v1,lines,P,,,80,2,24,1,8640,12,0.31377495376998354,0.39466604791348986,0.0038213883013065064,0.29978702583999106,0.08299111892930378,0.0025287139999998973,a07f806
nasa-structure-v1,lines,F,,,80,2,24,1,8640,12,0.26977538722703165,0.30690647598033477,0.03977929456456395,0.2464251898344557,0.12606962850035852,0.0001243259999999943,a07f806
nasa-structure-v1,lines,F_legacy,,,80,2,24,1,8640,12,0.28774057302224837,0.341670787124144,0.0383692539629888,0.2705023119050295,0.1339200835781928,0.00018955900000000217,a07f806
nasa-structure-v1,lines,T,0,,80,2,24,1,8640,12,0.31377495376998354,0.39466604791348986,0.0038213883013065064,0.29978702583999106,0.08299111892930378,0.005258997000000067,a07f806
nasa-structure-v1,lines,T,1,,80,2,24,1,8640,12,0.2772941704949517,0.31212787645821094,0.03954507104936824,0.2275689509494117,0.12633583293860512,0.003467850999999862,a07f806
nasa-structure-v1,lines,T,2,,80,2,24,1,8640,12,0.273651392118323,0.3061674327672678,0.03897730848939897,0.22685516262019004,0.1268153485563643,0.0031789449999997162,a07f806
nasa-structure-v1,lines,T,5,,80,2,24,1,8640,12,0.2700195647119893,0.30432886894000305,0.03954338975087986,0.23687394564663297,0.1270051246079104,0.0030229039999996863,a07f806
nasa-structure-v1,lines,T,10,,80,2,24,1,8640,12,0.26962728539693076,0.30495103714354477,0.03936651293019603,0.23925753606654135,0.1267814848754794,0.0030229249999996666,a07f806
nasa-structure-v1,lines,T,25,,80,2,24,1,8640,12,0.2698260063808309,0.30609701838492737,0.039397601555858454,0.24165075275014627,0.12682780712888037,0.002889342999999679,a07f806
nasa-structure-v1,lines,T,50,,80,2,24,1,8640,12,0.2698170904443766,0.30659630778446734,0.039673010711337255,0.24364157872506687,0.1268257273855978,0.0028793419999996782,a07f806
nasa-structure-v1,lines,lex,,2,80,2,24,1,8640,12,0.3036523269098221,0.3782764692345254,0.004780003370750992,0.2830240696048109,0.08763637476258353,0.003625991999999694,a07f806
nasa-structure-v1,lines,lex,,3,80,2,24,1,8640,12,0.3035809420762826,0.37822430961604087,0.004857324726086387,0.28302862015737895,0.08761825055650554,0.00305512599999969,a07f806
